tweet_id,user_id,username,post,date_created,lat1,long1,lat2,long2,lang
1754759594319204637,1325583992758824961,vargvikernzfoot,stupid fucking parents wanna stay up at like 11pm and cough n clear their throat loudly with the tv on max volume. I haven’t gotten any good sleep in the past few days n this is like my only chance n it’s being ruined because these stupid potheads want to stay up at unholy hours,2024-02-06T06:51:03.000Z,,,,,en
1754759588920914066,1405524653838266386,EmperorKaash,"Where’s this harmattan coming from ? The dry weather is actually causing me problems. Looks like i have RTI already. Dry chest cough, pains in my throat plus blood 🩸 drops in my catarrh… 😭😭😭",2024-02-06T06:51:02.000Z,,,,,en
1754759568952033597,1482194258090098688,Polloyx,RT @rustbeltenjoyer: It rocks how 120yrs ago a bunch of lounge suit wearing nerds at the Pennsylvanian Railroad hyped up on cocaine cough s…,2024-02-06T06:50:57.000Z,,,,,en
1754759529831551123,1750770316043833344,torturedpoet013,RT @stitchswift13: Whoever leaked the track list you will begin to cough in 13 hours,2024-02-06T06:50:48.000Z,,,,,en
1754759518821781598,1586565617393418240,JulioMa00788199,RT @suicidaisex: cough https://t.co/1ImUU3vVxk,2024-02-06T06:50:45.000Z,,,,,en
1754759503684202629,1741062012342292480,sammie_boi20,Cough wan wound me https://t.co/P1OvGMyHfM,2024-02-06T06:50:42.000Z,,,,,en
1754759484877193290,1705799989363105792,mixxbiased,RT @pinkliluvz: cough cough achoo https://t.co/CnFCgEhlrk,2024-02-06T06:50:37.000Z,,,,,en
1754759458897399838,1650082978230333440,hotdognotdogs,"@tifosisas Let me be clear here. The aim is to stop Trump. If it was some unipartyist RINO candidate like Haley then it's fair fight, establishment donors will cough up. But if it's Trump or any populist then they are outspent 3:1 at least, not to mention behavior from media, fbook, google",2024-02-06T06:50:31.000Z,,,,,en
1754759454292131932,535420770,KamathGurudutt,"Cold/Cough Wish some chest physician or doctor wrote a practical thread on how to prevent cold/cough. What are the best ways to manage cold/cough. My tip for seniors. 1. Consult a chest physician, if possible, in case of cold/cough! (of more than 3-7 days) 2. Drink hot soups",2024-02-06T06:50:30.000Z,,,,,en
1754759451620360406,1084511386988761088,SomSamya,@Deyveeka *cough*370*cough* NRC*cough* CAA*cough*,2024-02-06T06:50:29.000Z,,,,,en
1754759412441391178,1753877728460156928,Small__Faloo,"RT @lollylarry1: If you don't have catarrh or cough now, your immune system is high.",2024-02-06T06:50:20.000Z,,,,,en
1754759371035467966,909596695020916737,vexatag,RT @rustbeltenjoyer: It rocks how 120yrs ago a bunch of lounge suit wearing nerds at the Pennsylvanian Railroad hyped up on cocaine cough s…,2024-02-06T06:50:10.000Z,,,,,en
1754759351053791321,1456521920501850112,AnotherDystopic,"@sussanley Ahhh, you sure about your (cough) facts, Sussssan?? https://t.co/lvNTbREXj5",2024-02-06T06:50:05.000Z,,,,,en
1754759346792382694,928238300636241921,chibaylu,RT @sgope985: L D R ehmmmm... cough cough #ไบร์ทวิน https://t.co/XgWX6ThBoW,2024-02-06T06:50:04.000Z,,,,,en
1754759322159161369,1311448781842391040,FlawedBread,RT @rustbeltenjoyer: It rocks how 120yrs ago a bunch of lounge suit wearing nerds at the Pennsylvanian Railroad hyped up on cocaine cough s…,2024-02-06T06:49:58.000Z,,,,,en
1754759277678379170,1469217075357011968,AdeptusPetricus,RT @rustbeltenjoyer: It rocks how 120yrs ago a bunch of lounge suit wearing nerds at the Pennsylvanian Railroad hyped up on cocaine cough s…,2024-02-06T06:49:48.000Z,,,,,en
1754759188507406439,1255233331366674441,UrFavGeminiHoee,RT @giohalliwell: Put the songs on Spotify or you’ll start to cough in 3 days,2024-02-06T06:49:27.000Z,,,,,en
1754758970416455701,1367614875309023237,DetInference,RT @mochanically: cough https://t.co/Ps9P9dBkua,2024-02-06T06:48:35.000Z,,,,,en
1754758962879041622,1487477560124530689,Vanessablue6011,"@MzWakeNBaker @bluertwo I stopped the day my sister told me she has lung cancer. I picked up a vape though, not sure that's any better. I don't cough like before, and I haven't burned a hole in anything for 18 months, lol.",2024-02-06T06:48:33.000Z,,,,,en
1754758930129879265,1730035034831069184,LibertyMediaAI,"Listen @elonmusk I know your goofy x app likes to spy on people and show ads... Just because your spyware app heard me cough doesn't mean I need the constant reminder... Jokes on the advertiser, it's probably cancer.",2024-02-06T06:48:25.000Z,,,,,en
1754758922010005682,112937229,WezMason,RT @erar97: King Charles you will start to cough in 7 days,2024-02-06T06:48:23.000Z,,,,,en
1754758868486549877,1612383605195669506,DisgustingRoac2,Fun fact! I originally didn’t like Jaheira because I found her boring. Now I..I….*cough* Um- wow… pretty lady. https://t.co/Xahu5jtiZz,2024-02-06T06:48:10.000Z,,,,,en
1754758825230668036,888110755446374401,Spaniard187,RT @rustbeltenjoyer: It rocks how 120yrs ago a bunch of lounge suit wearing nerds at the Pennsylvanian Railroad hyped up on cocaine cough s…,2024-02-06T06:48:00.000Z,,,,,en
